DataPercent ConfidenceThreshold Runtime FalsePositives FalseNegatives
40 0.05 1877.0513 10350757 4081993
60 0.05 3072.3955 20598516 1657035
80 0.05 4120.6885 26750834 351820
100 0.05 5390.5124 29740570 52308
20 0.01 992.42334 43516905 4179161
20 0.02 991.47424 30635564 4303989
20 0.05 1032.3251 12702482 4328284
