DataPercent ConfidenceThreshold Runtime FalsePositives FalseNegatives
40 0.05 11249.47 1416193 2237840
60 0.05 18144.334 387975 2283986
80 0.05 22937.598 103472 1407347
100 0.05 28452.298 0 0
20 0.01 11502.985 1695298 2592837
20 0.02 10427.761 1398757 2598734
20 0.05 10952.748 1592835 2958271
