DataPercent ConfidenceThreshold Runtime
40 0.05 4133.0396
60 0.05 5897.6265
80 0.05 7796.2954
100 0.05 9721.9811
20 0.01 1937.3358
20 0.02 1929.9752
20 0.05 1934.5443
