DataPercent ConfidenceThreshold Runtime
40 0.05 0.450337 
60 0.05 0.72001845 
80 0.05 0.9770544 
100 0.05 1.3012501 
20 0.01 0.1834936 
20 0.02 0.18598649 
20 0.05 0.1774943 
