DataPercent ConfidenceThreshold Runtime FalsePositives FalseNegatives
40 0.05 0.2000763 10528 11788
60 0.05 0.34035352 14253 9239
80 0.05 0.43795502 17146 7293
100 0.05 0.6419195 19213 5485
20 0.01 0.0822192 11839 15093
20 0.02 0.0796654 10450 15093
20 0.05 0.0841082 5465 15039
