DataPercent ConfidenceThreshold Runtime
40 0.05 0.3958127 
60 0.05 0.7084178 
80 0.05 0.9182184 
100 0.05 1.2355072 
20 0.01 0.1826762 
20 0.02 0.16801511 
20 0.05 0.1693264 
